MAKESPAN,OCC,WL
43.0255,85.241088,1068.2176
40.4604,81.92461499999999,844.5241
43.904,88.593606,934.9081
35.8788,82.21656599999997,602.3526
43.3771,85.82102099999997,1256.4289
41.5234,83.70143999999999,1005.4106
45.7508,93.32335799999998,1214.7706
49.1188,93.80832299999999,1391.8873
47.0532,89.69659199999998,1207.8056
43.6825,90.197478,964.9789
45.2653,88.91748899999999,1060.4484
42.7339,85.59627299999997,954.6458
40.2117,83.60420400000001,937.7495
45.1843,92.39352300000002,1009.9485
43.311,88.23130199999999,1009.7788
39.5332,82.92332699999997,850.6158
43.2485,85.69936799999999,934.2175
38.9723,80.631171,962.847
44.213,86.31,1062.594
52.5642,96.08387399999998,1256.8811
40.6866,80.351217,882.4932
39.6536,87.42585600000001,876.0917
40.8337,81.35508599999997,927.8026
46.7004,91.51982100000001,1127.2801
46.3497,91.27466099999998,1189.4708
44.5189,89.29889099999998,1131.0457
47.6249,93.410865,1333.3273
39.0189,82.617111,938.2658
40.9276,84.04593299999999,975.9213
48.7184,93.62008800000004,1204.824
45.2042,93.28785300000001,1351.9372
38.6766,85.28570999999997,902.7622
43.4664,86.92288199999997,925.9584
42.1049,83.938779,1063.8901
41.8247,85.086765,1116.6069
39.8936,82.675584,811.7938
46.6479,92.90027699999996,1264.5914
41.3308,82.728711,1060.5627
48.9174,93.115467,1347.0035
42.6977,89.68959,996.5265
43.8163,87.83168399999998,878.1142
42.1136,85.21506899999999,1040.2079
48.7332,91.92220199999997,1308.2169
40.8721,84.45233699999999,1099.6143
49.9628,90.59819399999998,1329.2731
45.9685,88.52952599999999,1092.032
42.0337,83.56892400000001,1082.6631
48.21,91.714815,1219.583
39.1258,78.95670299999998,822.4939
39.186,80.61047099999999,843.3739
40.4198,83.54938499999994,1191.2108
43.3108,93.31913700000001,1124.4707
40.0381,84.28550399999997,917.4913
42.1044,87.42934799999999,959.7499
41.6988,86.12770499999996,1024.1599
39.6035,81.52406099999999,958.1206
43.7686,88.81024499999998,1090.8269
45.3923,92.54961900000002,1051.275
46.371,89.957007,909.1055
43.9383,86.51345399999998,1251.4662
40.4288,85.72366799999999,972.973
36.3715,76.31623800000001,825.3041
41.8246,86.271543,1054.9541
