2023-08-07 18:27:11:	logging to outputs/2023-08-07/18-27-08/sac_discrete/Training/Logs\2023-08-07-18-27-0-11552
2023-08-07 18:27:11:	saved parameters.txt to outputs/2023-08-07/18-27-08/sac_discrete/Training/Logs\2023-08-07-18-27-0-11552\parameters.txt
2023-08-07 18:27:11:	Initializing Environment
2023-08-07 18:27:11:	Initializing Buffer
2023-08-07 18:27:11:	Initializing Agent
2023-08-07 18:27:11:	Initializing Trainer
2023-08-07 18:27:11:	Started training
2023-08-07 21:53:09:	Timestep:88000	Evaluation return -9.135447
2023-08-07 21:55:21:	Timestep:89000	Evaluation return -9.301582
2023-08-07 21:57:29:	Timestep:90000	Evaluation return -9.089497
2023-08-07 21:59:50:	Timestep:91000	Evaluation return -9.065523
2023-08-07 22:01:59:	Timestep:92000	Evaluation return -9.201369
2023-08-07 22:04:33:	Timestep:93000	Evaluation return -9.370724
2023-08-07 22:06:46:	Timestep:94000	Evaluation return -9.016278
2023-08-07 22:08:56:	Timestep:95000	Evaluation return -9.399618
2023-08-07 22:11:09:	Timestep:96000	Evaluation return -9.274321
2023-08-07 22:13:20:	Timestep:97000	Evaluation return -9.362604
2023-08-07 22:15:38:	Timestep:98000	Evaluation return -9.115728
2023-08-07 22:19:07:	Timestep:99000	Evaluation return -9.400919
2023-08-07 22:24:29:	Timestep:100000	Evaluation return -9.285190
2023-08-07 22:27:42:	Timestep:101000	Evaluation return -9.284626
2023-08-07 22:31:31:	Timestep:102000	Evaluation return -9.137698
2023-08-07 22:33:55:	Timestep:103000	Evaluation return -9.232455
2023-08-07 22:36:41:	Timestep:104000	Evaluation return -9.455595
2023-08-07 22:39:43:	Timestep:105000	Evaluation return -9.165122
2023-08-07 22:42:22:	Timestep:106000	Evaluation return -9.324792
2023-08-07 22:45:27:	Timestep:107000	Evaluation return -9.256122
2023-08-07 22:48:22:	Timestep:108000	Evaluation return -9.183069
2023-08-07 22:51:49:	Timestep:109000	Evaluation return -9.185103
2023-08-07 22:54:55:	Timestep:110000	Evaluation return -9.356375
2023-08-07 22:57:48:	Timestep:111000	Evaluation return -9.395613
2023-08-07 23:01:16:	Timestep:112000	Evaluation return -9.395111
2023-08-07 23:05:28:	Timestep:113000	Evaluation return -9.348750
