2023-08-06 11:23:51:	logging to outputs/2023-08-06/11-23-49/sac_discrete/Training/Logs\2023-08-06-11-23-0-16832
2023-08-06 11:23:51:	saved parameters.txt to outputs/2023-08-06/11-23-49/sac_discrete/Training/Logs\2023-08-06-11-23-0-16832\parameters.txt
2023-08-06 11:23:51:	Initializing Environment
2023-08-06 11:23:51:	Initializing Buffer
2023-08-06 11:23:51:	Initializing Agent
2023-08-06 11:23:51:	Initializing Trainer
2023-08-06 11:23:51:	Started training
2023-08-06 15:10:25:	Timestep:88000	Evaluation return -9.166446
2023-08-06 15:12:38:	Timestep:89000	Evaluation return -9.168821
2023-08-06 15:14:50:	Timestep:90000	Evaluation return -8.773078
2023-08-06 15:17:03:	Timestep:91000	Evaluation return -8.884710
2023-08-06 15:19:16:	Timestep:92000	Evaluation return -8.886546
2023-08-06 15:21:36:	Timestep:93000	Evaluation return -8.598103
2023-08-06 15:23:53:	Timestep:94000	Evaluation return -9.032522
2023-08-06 15:26:10:	Timestep:95000	Evaluation return -8.760256
2023-08-06 15:28:26:	Timestep:96000	Evaluation return -8.858831
2023-08-06 15:30:48:	Timestep:97000	Evaluation return -8.827020
2023-08-06 15:33:04:	Timestep:98000	Evaluation return -8.979047
2023-08-06 15:35:21:	Timestep:99000	Evaluation return -8.856080
2023-08-06 15:37:37:	Timestep:100000	Evaluation return -9.106247
