#{"t_start": 1691331698.9456968, "env_id": null}
r,l,t,sim_duration,oc_costs,weighted_lateness,completion_score,schedule,total_reward
-53.649185,627,4.41121,39.4643,84.198,1217.0772,1.0,"[170, 375, 0, 86, 378, 172, 357, 409, 88, 17, 273, 2, 119, 239, 93, 276, 360, 391, 494, 410, 180, 7, 425, 103, 380, 97, 122, 306, 460, 101, 429, 240, 417, 68, 290, 10, 394, 182, 323, 222, 279, 421, 246, 495, 125, 204, 154, 11, 462, 16, 502, 384, 442, 341, 70, 184, 51, 477, 250, 207, 385, 255, 188, 155, 424, 398, 431, 136, 105, 34, 506, 342, 435, 252, 128, 326, 211, 257, 328, 445, 508, 191, 367, 77, 223, 438, 80, 82, 130, 163, 292, 19, 400, 262, 469, 280, 135, 370, 346, 165, 139, 53, 470, 167, 333, 389, 479, 213, 284, 475, 404, 449, 146, 215, 286, 484, 37, 193, 373, 335, 265, 349, 440, 149, 266, 309, 43, 229, 299, 218, 407, 451, 352, 45, 27, 489, 270, 339, 354, 112, 30, 152, 232, 31, 454, 302, 457, 196, 237, 61, 115, 63, 316, 305, 317, 48, 67, 200, 491, 116, 322, 202]",-84.198
-10.300426,965,10.76722,41.0172,85.0283,1137.3214,1.0,"[136, 375, 255, 188, 377, 0, 205, 189, 380, 119, 139, 409, 194, 459, 290, 257, 207, 34, 477, 384, 386, 425, 273, 2, 196, 261, 146, 122, 68, 154, 389, 5, 276, 291, 51, 171, 148, 411, 102, 239, 265, 152, 461, 266, 493, 443, 199, 429, 210, 417, 479, 357, 324, 124, 299, 70, 340, 86, 202, 241, 485, 271, 17, 222, 421, 301, 327, 432, 444, 391, 307, 37, 10, 246, 422, 277, 487, 104, 12, 20, 213, 435, 303, 449, 223, 249, 438, 328, 394, 42, 129, 230, 131, 495, 253, 76, 215, 156, 281, 81, 333, 490, 53, 397, 283, 46, 173, 15, 234, 220, 308, 451, 27, 360, 82, 28, 87, 112, 288, 334, 114, 49, 235, 342, 180, 441, 400, 31, 134, 454, 346, 367, 93, 370, 339, 182, 117, 96, 316, 502, 373, 100, 184, 317, 404, 469, 458, 163, 472, 407, 165, 474, 349, 506, 61, 320, 352, 509, 168, 63, 354, 65]",-85.0283
-11.103069,971,106.093167,48.5069,94.6244,1506.4609,1.0,"[221, 69, 357, 307, 223, 71, 170, 290, 229, 51, 409, 308, 360, 234, 255, 1, 236, 316, 136, 460, 76, 172, 4, 292, 425, 392, 319, 374, 120, 257, 54, 299, 320, 5, 102, 18, 427, 85, 35, 122, 81, 262, 84, 61, 187, 239, 125, 104, 272, 62, 154, 20, 65, 302, 341, 10, 128, 36, 88, 443, 11, 16, 112, 115, 303, 156, 43, 27, 204, 477, 45, 276, 445, 50, 95, 449, 116, 28, 207, 97, 240, 33, 378, 277, 210, 247, 343, 265, 189, 101, 432, 462, 163, 251, 267, 451, 138, 254, 193, 269, 394, 324, 435, 478, 438, 165, 347, 441, 180, 281, 327, 410, 380, 132, 484, 454, 169, 456, 134, 493, 417, 328, 146, 398, 495, 284, 183, 420, 333, 383, 286, 149, 401, 334, 338, 488, 402, 492, 387, 184, 423, 502, 407, 151, 469, 470, 475, 367, 506, 368, 389, 349, 373, 351, 196, 508, 199, 203, 213, 355, 215, 219]",-94.6244
