2023-08-08 13:56:41:	logging to outputs/2023-08-08/13-56-37/sac_discrete_optuna/Training/Logs\2023-08-08-13-56-0-10328
2023-08-08 13:56:41:	saved parameters.txt to outputs/2023-08-08/13-56-37/sac_discrete_optuna/Training/Logs\2023-08-08-13-56-0-10328\parameters.txt
2023-08-08 13:56:41:	Initializing Environment
2023-08-08 13:56:41:	Initializing Buffer
2023-08-08 13:56:41:	Initializing Agent
2023-08-08 13:56:41:	Initializing Trainer
2023-08-08 13:56:41:	Started training
2023-08-08 16:33:55:	Timestep:88000	Evaluation return -10.736776
2023-08-08 16:35:19:	Timestep:89000	Evaluation return -10.439690
2023-08-08 16:36:43:	Timestep:90000	Evaluation return -10.462479
2023-08-08 16:38:08:	Timestep:91000	Evaluation return -10.573125
2023-08-08 16:39:33:	Timestep:92000	Evaluation return -10.450912
2023-08-08 16:40:56:	Timestep:93000	Evaluation return -10.839874
2023-08-08 16:42:20:	Timestep:94000	Evaluation return -10.557794
2023-08-08 16:43:44:	Timestep:95000	Evaluation return -10.472572
2023-08-08 16:45:08:	Timestep:96000	Evaluation return -10.359562
2023-08-08 16:46:32:	Timestep:97000	Evaluation return -10.518174
2023-08-08 16:47:57:	Timestep:98000	Evaluation return -10.133441
2023-08-08 16:49:23:	Timestep:99000	Evaluation return -10.447354
2023-08-08 16:50:51:	Timestep:100000	Evaluation return -10.641895
