MAKESPAN,OCC,WL
36.7826,71.66390400000003,876.4187
38.3676,72.49392,985.5357
40.937,76.36368599999997,1094.1338
42.5484,76.932828,1046.0306
39.5296,75.44670299999999,918.7059
39.2387,73.225665,832.8754
38.1714,72.64441799999997,820.2732
40.7517,75.36698999999997,967.7782
38.7008,71.473095,951.726
40.332,73.80641700000001,922.8171
47.9111,81.03155399999997,1217.8923
41.0807,78.449004,705.2549
35.6083,70.23216599999999,584.8614
47.5929,81.03815099999997,1040.9521
38.2962,71.68421699999999,826.6114
41.9593,78.88447799999999,950.8884
38.5651,72.94269599999998,734.7972
40.4198,76.81196700000001,983.0456
39.7578,73.70946,794.851
39.3943,75.33432900000001,1038.5638
47.057,79.67496599999998,1270.1344
36.8293,71.90243999999998,815.2358
37.5014,72.93266100000001,954.0058
36.846,71.310294,994.3377
43.6142,79.97812200000001,866.8769
40.6335,77.736213,835.8415
38.2445,72.69716700000001,951.3069
37.3296,72.885366,764.4042
41.334,77.52653100000002,952.0113
45.3963,79.00993799999998,1163.112
42.2507,77.99248800000001,869.4797
45.1151,78.75402300000002,1019.1313
43.6749,78.55984800000002,869.9425
39.1878,74.12204700000001,946.7593
46.735,83.71283400000002,1105.6171
39.994,71.537967,998.8971
42.1031,78.19498800000001,872.543
39.3151,74.352609,916.2322
45.0109,80.96688000000002,971.5523
40.5439,74.961999,845.8601
39.3307,74.29091399999999,837.6656
40.3293,72.24984,804.4413
34.3636,68.362281,806.3565
40.8683,75.451437,840.3948
40.7739,76.55102100000002,1012.506
43.473,79.54267499999999,1209.2624
42.7809,78.51429900000002,1081.4573
37.5755,73.27499399999999,738.9114
38.8413,73.46043900000001,859.8816
41.7541,75.648123,1126.4177
42.4212,77.776011,827.3309
47.0432,84.96675000000002,1126.9365
37.3455,73.53714600000004,700.3506
40.9573,75.60792,981.3101
39.2693,74.665683,922.8481
42.5312,79.71695100000002,749.2046
37.0268,72.550557,673.5185
41.3889,76.51241099999999,919.2866
38.8588,73.811934,746.8894
40.5315,77.98906800000005,942.9077
43.2159,79.41204900000001,966.2194
39.4211,74.37681,1060.0207
41.6426,77.424219,883.3383
37.8588,71.694828,1001.8223
43.8313,78.89274,1038.7582
41.6182,79.67503799999999,1232.7117
44.2462,78.051231,1189.2929
39.1556,71.936442,1002.1491
42.1162,77.59717200000003,923.6692
37.3346,73.12193100000002,922.1031
43.2279,77.147154,1045.6992
45.1603,80.155179,1052.5243
39.9187,73.30816800000002,1108.3012
38.738,76.622535,953.5086
39.4773,77.13141299999998,896.073
40.4648,74.76453000000001,1033.1346
44.4244,79.98858900000003,1063.2045
37.8634,74.82297600000001,783.3242
36.1478,74.53411200000002,831.207
37.0474,73.14201000000001,868.1984
41.7517,75.35274300000003,919.8747
41.5581,76.811544,871.5593
39.6584,75.79039500000002,892.8498
39.5058,73.87137900000002,958.728
38.8233,76.58388,840.8622
47.0408,84.347613,1164.2662
38.474,72.325377,941.0295
36.645,71.78193000000002,686.9971
37.0428,73.29630599999999,920.7655
49.1419,84.753387,1293.4148
46.947,84.096171,1115.2063
42.2589,78.48044099999998,1048.003
41.3306,75.487698,1056.3991
42.216,78.305589,963.1883
41.849,76.688928,952.4821
39.8667,74.62799999999999,794.6268
41.2957,74.2941,883.8636
40.2214,75.395646,949.5707
43.34,78.18740100000002,1015.5563
36.749,69.45630300000002,790.1684
39.4444,71.24104799999998,816.0152
41.2233,77.42665800000002,905.2195
36.6167,72.31074299999999,945.5573
40.8887,73.16218800000001,689.976
42.1613,77.04500399999999,1024.3672
37.9224,72.93661200000001,853.3028
39.8921,74.66957099999999,823.826
38.9877,70.969662,804.49
38.3697,73.25316000000001,825.323
42.0514,75.403044,1035.5581
38.2843,73.97617500000001,968.7691
42.6869,77.41258199999999,835.0598
36.3993,72.88749900000002,867.6554
39.4454,77.68946700000001,825.9628
38.0112,73.49759100000001,711.0664
43.6361,78.96022199999999,1038.5678
38.8397,75.362742,953.2429
45.9641,80.90549100000001,1112.6882
43.7767,79.74982800000001,1074.9724
37.3186,72.11520000000002,820.8112
39.1976,75.66492600000001,825.995
39.5722,74.74591800000002,833.3196
44.1347,76.884921,903.2244
39.333,74.06999099999999,905.8413
42.3281,77.53419,880.8051
40.2098,75.483945,1167.2465
43.6069,77.97862799999999,870.8649
44.5351,81.96264,990.6221
49.0222,86.35929300000001,1369.9965
46.2173,82.31135400000002,1092.725
38.6746,72.601416,796.2402
41.1568,77.553837,875.2145
42.6671,79.04675699999999,1143.4482
35.605,73.61750699999997,814.6742
42.4964,76.259007,1234.1387
44.9819,80.42464800000002,1057.7427
39.1561,74.51844300000002,830.7874
38.8783,71.783262,790.4076
36.748,70.06201199999998,825.3056
37.8857,76.002318,872.6441
44.349,76.68575099999998,993.6191
37.6523,76.45176000000004,909.4519
41.5624,79.873488,921.1332
45.5768,81.52689600000001,970.7135
42.6224,78.66033299999998,964.3432
39.5661,72.213876,944.1585
40.065,76.04690400000001,887.1642
39.9043,73.597986,919.5562
41.5537,78.54876,974.7392
44.4704,79.275393,1006.9842
50.1305,83.18007899999998,1100.4408
40.3299,75.00454200000001,1054.6201
38.5376,74.115693,898.1904
39.6116,77.83937100000003,1090.3917
43.1203,76.343913,1048.0129
42.1067,78.31519200000001,807.196
39.6854,76.11277500000001,787.7544
38.1516,74.738025,1068.7332
39.3025,74.62444500000001,864.8367
40.8932,76.40542800000003,1075.8778
34.3591,70.09940699999999,772.5901
43.9569,80.54534699999999,985.6953
38.0851,74.17200600000001,709.4636
38.8966,73.95732900000002,798.8872
35.3365,70.781427,805.3936
37.5857,71.70224400000001,1024.7463
36.838,76.24336500000001,650.6358
37.5462,71.484525,909.241
39.2553,75.260259,719.0373
40.2301,74.54317500000002,943.147
41.3489,74.82303900000002,837.4415
42.5221,78.169599,1096.3304
45.5117,81.52873200000002,922.7323
37.072,72.07542900000001,685.525
36.2786,74.215971,926.5952
41.8024,77.80577400000001,932.4538
37.9317,71.40784500000001,889.3977
39.2336,75.25790099999998,1014.8165
36.602,70.63053299999999,826.0336
35.41,70.9596,866.219
40.0387,77.029092,963.1987
40.7582,73.677429,774.8596
42.0443,78.38045100000001,971.1531
35.8714,71.52681600000003,833.4453
39.0807,75.90364199999999,1070.6731
37.9158,72.536769,746.9237
36.9658,73.13652900000001,727.6074
37.9569,71.256618,724.5486
36.5079,71.31469500000003,925.2374
41.0149,76.19087700000001,937.4484
39.7716,76.89983399999998,978.5739
37.0959,74.16705600000002,883.0983
39.1222,75.399102,910.5772
41.66,76.37367600000002,997.0828
43.5368,80.004528,1055.971
50.623,84.56049900000002,1373.4833
44.2958,78.354018,1083.614
39.1372,74.43266400000002,914.8867
38.2864,73.89763200000002,936.6476
39.4498,74.630493,733.5285
41.1045,76.094856,907.2644
41.7897,77.581233,977.7582
39.2481,74.859309,892.9551
41.9846,78.441012,896.9113
44.6503,79.956189,942.7288
37.0472,72.22555799999998,872.3736
50.8876,84.21041699999999,1233.7566
37.3992,71.693478,670.9166
43.1091,76.38534899999999,996.6386
39.2269,74.415303,831.2239
44.27,76.629717,1094.838
39.3791,75.63954600000001,734.9615
44.8337,80.73158400000001,1056.5812
44.4451,76.95943199999999,991.7156
40.0128,78.35208300000002,908.197
40.5057,78.23379599999997,870.508
40.915,75.677985,1016.6188
42.9375,79.46037900000002,925.8454
43.6285,81.015399,1113.6322
40.0818,74.59155000000001,825.2363
41.8981,75.884076,956.398
41.0611,75.524679,871.3018
41.9488,79.410438,892.6159
38.9695,71.762958,951.209
41.9671,77.54965200000001,806.8027
41.1008,77.88859200000002,1021.0351
42.5732,73.54861199999999,1163.5755
35.4893,70.85908800000001,891.859
38.6411,74.590677,878.8113
40.4191,73.381311,945.2195
36.1423,69.957684,857.244
34.8562,70.76509199999998,702.6917
36.3394,73.14284699999999,632.3315
46.3906,80.54835299999999,999.9718
39.3115,72.490824,852.3847
36.8065,72.307413,695.9776
42.8128,78.71100299999999,801.8188
43.9972,79.49727000000001,912.0517
37.7397,73.86349500000003,932.2432
37.8362,70.88141700000001,783.4635
35.4703,70.228818,710.3422
37.7223,71.906184,775.8953
41.7386,73.678914,1133.8219
39.3376,78.99998400000001,974.3948
42.455,76.06938600000001,999.4344
41.0395,73.69748100000001,1100.4857
37.7146,74.29701600000001,993.5975
39.9685,75.66456599999998,955.5134
34.7431,70.25781599999999,910.6485
41.609,76.88270700000001,850.3011
38.3794,72.143847,813.1676
39.0072,78.47955,765.3724
40.5185,77.20721999999999,1000.1363
38.144,73.673001,896.9021
42.9702,78.36075,912.2253
44.0578,78.433605,1045.3604
44.9176,78.194925,1125.9217
43.1558,78.49757699999999,930.3054
38.8754,73.93614299999996,905.4794
41.1958,78.05452499999998,910.7802
36.9748,74.428722,751.1198
36.4623,72.332001,650.4724
43.8445,76.05552599999999,1096.19
40.7219,76.84604099999999,773.2116
38.9561,74.824119,900.485
38.861,74.60755200000001,814.337
36.6162,67.39253999999998,845.6743
42.1869,80.39447100000002,866.7345
44.7597,82.49274900000003,1080.5667
39.2894,75.91391999999999,1023.122
41.9373,77.04930600000003,942.6428
33.8988,69.752691,645.5546
36.9547,72.121329,813.8125
45.9064,78.968205,1007.1819
41.0213,79.19841600000001,959.5447
43.7564,78.43555799999999,1073.2383
44.2145,78.96975299999998,1246.0285
39.8052,77.13249300000001,1120.7525
44.2388,79.28038799999999,1003.7507
43.6714,81.530451,1094.5804
40.112,75.21651,817.3563
35.9233,70.312275,834.1468
45.177,80.718417,1073.1937
44.8162,81.25739999999999,972.666
36.9394,72.33573600000001,784.8119
37.149,72.86360400000001,973.5461
37.078,72.96219000000002,741.952
36.8701,73.93905,724.1779
40.0045,75.079341,883.1938
36.3178,72.313083,874.9778
